RFP % Present,RFP Last Status,RFP Last Internal Rating,RFP Last TRACK Score,RFP Tech Ability,RFP Learnability,Last Graduation,RFP Communicability,RFP Avg TRACK Score,TechCategory,Year,Practice Head
76.0,2,3,3.34,1.68,1.72,4,0.86,4.26,2,2019.0,4
89.0,0,2,3.6,1.22,1.51,3,0.67,3.4,0,2020.0,1
79.0,0,3,4.4,1.74,1.75,3,0.93,4.42,2,2020.0,4
97.0,1,2,3.32,1.21,1.29,3,0.74,3.24,1,2020.0,1
76.0,0,3,4.28,1.59,1.66,3,0.88,4.13,0,2020.0,4
74.0,2,3,3.34,1.59,1.82,4,0.92,4.33,2,2018.0,1
63.0,0,3,3.34,1.49,1.54,4,0.79,3.81,3,2020.0,1
94.0,0,2,3.91,1.43,1.61,5,0.72,3.76,3,2018.0,0
92.0,2,2,4.28,1.65,1.69,5,0.85,4.2,0,2020.0,0
87.0,1,2,3.58,1.24,1.55,4,0.69,3.48,3,2020.0,0
90.0,2,3,4.28,1.6,1.76,5,0.85,4.22,0,2020.0,0
90.0,0,2,3.67,1.27,1.49,3,0.69,3.45,2,2018.0,0
92.0,0,2,3.94,1.57,1.55,4,0.74,3.85,2,2019.0,2
81.0,1,2,3.21,1.28,1.37,3,0.59,3.23,1,2019.0,0
25.0,1,4,1.75,0.7,0.7,4,0.35,1.75,1,2020.0,4
94.0,1,2,3.4,1.25,1.47,3,0.77,3.5,3,2019.0,0
81.0,2,2,4.4,1.6,1.55,4,0.78,3.93,1,2018.0,0
88.0,2,3,4.28,1.64,1.67,4,0.94,4.26,2,2018.0,0
90.0,0,2,3.86,1.56,1.58,4,0.82,3.96,2,2019.0,0
90.0,2,2,4.22,1.58,1.76,4,0.76,4.1,2,2019.0,0
98.0,0,3,3.72,1.2,1.27,4,0.8,3.26,1,2020.0,4
100.0,2,3,4.61,1.8,1.77,3,0.89,4.46,2,2019.0,2
81.0,2,2,4.16,1.58,1.46,3,0.77,3.81,3,2020.0,0
100.0,0,2,3.94,1.65,1.63,3,0.78,4.06,2,2019.0,2
91.0,1,4,2.51,0.92,1.16,3,0.67,2.75,1,2021.0,4
83.0,0,2,3.88,1.59,1.53,3,0.74,3.85,0,2019.0,2
85.0,1,2,3.0,1.05,1.28,3,0.67,3.0,3,2016.0,0
100.0,0,3,4.12,1.61,1.61,5,0.82,4.04,2,2019.0,2
90.0,0,3,4.06,1.65,1.57,6,0.78,4.0,2,2018.0,2
78.0,1,4,2.52,0.85,1.21,4,0.63,2.69,1,2019.0,4
87.0,1,2,3.13,1.38,1.45,3,0.84,3.67,0,2017.0,4
88.0,0,0,3.89,1.31,1.51,4,0.96,3.78,2,2020.0,4
82.0,0,3,3.68,1.44,1.48,4,0.76,3.69,2,2020.0,3
98.0,0,2,3.78,1.34,1.49,4,0.75,3.58,2,2018.0,4
91.0,0,2,3.77,1.28,1.53,3,0.79,3.61,0,2018.0,4
86.0,1,2,3.58,1.39,1.55,8,0.77,3.71,0,2021.0,4
98.0,0,3,3.76,1.43,1.48,4,0.77,3.68,2,2021.0,3
100.0,0,3,3.88,1.56,1.54,4,0.78,3.88,2,2021.0,3
95.0,0,3,3.62,1.43,1.44,4,0.72,3.59,2,2020.0,3
100.0,0,3,3.98,1.43,1.67,4,0.87,3.97,2,2020.0,4
67.0,0,2,3.98,1.5,1.57,4,0.7,3.78,2,2022.0,3
100.0,0,3,4.22,1.58,1.75,4,0.86,4.19,2,2016.0,4
87.0,0,3,4.2,1.4,1.64,3,0.84,3.88,0,2020.0,3
83.0,0,2,3.55,1.24,1.32,4,0.76,3.32,0,2017.0,0
96.0,0,2,3.73,1.22,1.39,0,0.82,3.43,0,2014.0,0
99.0,0,3,4.15,1.58,1.58,3,0.94,4.1,0,2015.0,0
71.0,0,2,3.34,1.34,1.49,4,0.81,3.64,0,2020.0,2
100.0,0,2,3.99,1.61,1.54,4,0.78,3.93,2,2020.0,3
72.0,0,2,3.86,1.45,1.56,4,0.81,3.81,2,2018.0,3
81.0,0,2,3.92,1.31,1.63,3,0.68,3.61,0,2021.0,3
92.0,0,2,4.06,1.42,1.45,4,0.61,3.48,3,2020.0,3
100.0,2,3,4.64,1.59,1.73,4,0.9,4.23,2,2021.0,3
93.0,0,3,4.16,1.54,1.56,3,0.84,3.94,2,2018.0,4
94.0,0,2,3.98,1.34,1.65,4,0.98,3.97,2,2015.0,4
93.0,2,3,3.34,1.6,1.68,4,0.85,4.12,2,2017.0,3
93.0,0,2,3.74,1.29,1.44,4,0.8,3.52,0,2019.0,2
96.0,0,3,4.27,1.46,1.56,4,0.77,3.79,2,2021.0,4
96.0,2,0,4.64,1.66,1.91,3,1.0,4.57,2,2020.0,2
98.0,0,2,3.85,1.57,1.25,5,0.63,3.45,0,2021.0,2
83.0,0,0,4.58,1.65,1.59,4,0.85,4.09,0,2017.0,4
88.0,0,3,3.98,1.44,1.52,3,0.94,3.9,2,2018.0,4
93.0,0,2,3.84,1.33,1.48,3,0.77,3.57,0,2018.0,4
55.0,0,3,3.34,1.51,1.6,4,0.79,3.91,2,2021.0,3
82.0,0,3,3.34,1.42,1.53,4,0.88,3.83,0,2021.0,4
98.0,0,2,3.74,1.47,1.48,4,0.69,3.64,2,2021.0,3
84.0,0,2,3.84,1.39,1.47,4,0.7,3.56,0,2020.0,4
71.0,1,2,3.47,1.22,1.52,4,0.73,3.46,0,2021.0,0
98.0,1,2,3.86,1.36,1.3,4,0.67,3.33,2,2021.0,3
86.0,0,2,3.8,1.47,1.48,4,0.75,3.69,2,2018.0,4
85.0,1,2,3.79,1.32,1.39,4,0.97,3.69,2,2021.0,4
100.0,2,0,4.58,1.54,1.67,4,0.82,4.03,2,2021.0,3
100.0,2,0,4.46,1.48,1.46,4,0.74,3.69,2,2020.0,3
81.0,0,3,4.52,1.73,1.72,5,0.99,4.44,2,2022.0,4
75.0,0,2,3.36,1.15,1.39,0,0.71,3.25,0,2020.0,0
86.0,1,3,3.7,1.25,1.42,4,0.85,3.52,2,2018.0,4
98.0,0,2,3.62,1.34,1.48,4,0.8,3.62,3,2018.0,0
95.0,0,2,3.8,1.51,1.56,4,0.77,3.85,0,2021.0,4
100.0,0,3,4.36,1.48,1.54,3,0.91,3.92,2,2020.0,0
90.0,0,3,4.4,1.48,1.78,3,0.89,4.14,2,2020.0,2
74.0,0,2,3.71,1.36,1.43,7,0.92,3.71,2,2021.0,0
94.0,0,0,3.62,1.59,1.48,4,0.92,3.99,0,2020.0,3
84.0,0,3,4.1,1.47,1.59,4,0.67,3.73,2,2019.0,2
92.0,2,0,3.68,1.45,1.42,3,0.75,3.62,0,2019.0,0
92.0,2,0,3.69,1.58,1.45,4,0.69,3.72,2,2019.0,0
48.0,0,2,3.62,1.38,1.37,4,0.84,3.59,2,2021.0,0
89.0,2,3,3.64,1.48,1.37,5,0.71,3.56,3,2021.0,0
90.0,0,3,4.03,1.51,1.64,4,0.88,4.03,0,2017.0,4
90.0,0,3,4.03,1.51,1.64,4,0.88,4.03,2,2014.0,4
96.0,1,2,3.33,1.31,1.42,4,0.76,3.49,0,2019.0,0
100.0,2,0,4.64,1.47,1.69,3,0.99,4.14,2,2018.0,2
93.0,0,3,4.16,1.59,1.6,3,0.79,3.98,2,2019.0,4
97.0,1,2,3.68,1.33,1.42,4,0.8,3.55,0,2017.0,3
96.0,1,4,2.66,0.81,1.15,3,0.7,2.66,1,2020.0,0
95.0,2,3,4.4,1.57,1.82,3,0.96,4.34,0,2017.0,4
94.0,2,3,4.4,1.46,1.45,3,0.78,3.69,0,2021.0,3
84.0,0,3,3.6,1.44,1.43,4,0.8,3.67,2,2019.0,0
84.0,0,3,3.98,1.6,1.61,3,0.78,4.0,2,2019.0,4
98.0,1,2,3.68,1.31,1.43,4,0.78,3.51,0,2021.0,3
66.0,0,0,4.88,1.74,1.78,4,0.96,4.48,2,2021.0,2
71.0,0,2,3.98,1.57,1.6,0,0.7,3.87,2,2021.0,2
98.0,2,3,4.37,1.67,1.72,4,0.98,4.37,2,2020.0,3
79.0,1,3,3.5,1.24,1.41,5,0.74,3.39,0,2016.0,2
84.0,0,3,3.34,1.41,1.59,4,0.94,3.94,2,2020.0,4
82.0,0,3,4.28,1.56,1.77,3,0.99,4.32,2,2020.0,3
65.0,1,4,2.73,1.1,1.27,3,0.66,3.03,1,2021.0,4
87.0,0,3,3.86,1.53,1.56,4,0.78,3.87,0,2020.0,4
96.0,0,3,4.39,1.62,1.63,3,0.96,4.21,2,2021.0,3
86.0,1,2,3.02,1.17,1.39,3,0.96,3.51,2,2021.0,3
83.0,0,3,4.58,1.69,1.76,1,0.99,4.44,2,2018.0,2
77.0,0,3,3.73,1.36,1.46,4,0.79,3.61,0,2017.0,4
95.0,0,2,3.98,1.54,1.61,4,0.87,4.02,2,2020.0,0
96.0,2,3,4.03,1.58,1.57,3,0.76,3.91,2,2019.0,2
92.0,0,3,4.19,1.67,1.62,3,0.8,4.09,2,2020.0,2
96.0,0,2,3.68,1.27,1.53,3,0.81,3.61,0,2016.0,1
67.0,0,3,4.14,1.49,1.76,3,0.91,4.16,2,2020.0,4
77.0,0,2,3.57,1.33,1.54,4,0.75,3.62,0,2020.0,0
83.0,1,4,3.08,1.19,1.38,5,0.74,3.31,1,2019.0,1
69.0,0,2,3.6,1.41,1.49,4,0.82,3.72,2,2018.0,4
96.0,1,2,3.73,1.37,1.4,3,0.78,3.55,3,2020.0,1
50.0,0,2,3.34,1.32,1.44,8,0.81,3.57,2,2021.0,0
58.0,0,3,3.67,1.4,1.39,3,0.88,3.67,3,2018.0,4
76.0,1,2,3.34,1.24,1.3,4,0.74,3.28,3,2018.0,2
88.0,1,2,3.14,1.2,1.29,3,0.66,3.15,1,2018.0,1
83.0,1,2,2.03,0.7,0.74,4,0.43,1.88,1,2019.0,0
69.0,0,3,3.92,1.66,1.88,4,0.84,4.39,0,2018.0,4
100.0,0,3,4.39,1.54,1.8,6,0.92,4.26,2,2018.0,1
100.0,1,2,3.4,1.16,1.64,4,0.67,3.47,0,2019.0,0
69.0,1,2,3.53,1.36,1.33,4,0.78,3.48,0,2018.0,4
92.0,0,2,3.67,1.24,1.54,3,0.85,3.62,2,2018.0,1
94.0,1,2,2.66,0.71,1.19,4,0.67,2.58,1,2019.0,0
83.0,2,3,3.34,1.51,1.75,4,0.91,4.16,2,2020.0,0
94.0,0,2,4.16,1.39,1.62,3,0.9,3.91,2,2019.0,1
79.0,2,3,4.16,1.6,1.48,4,0.74,3.82,3,2019.0,0
89.0,1,2,2.73,1.2,1.22,4,0.7,3.12,2,2019.0,2
92.0,0,2,4.01,1.5,1.6,4,0.79,3.89,3,2019.0,0
96.0,1,2,3.35,1.28,1.44,3,0.69,3.41,0,2019.0,1
100.0,0,2,3.98,1.32,1.63,3,0.82,3.77,3,2019.0,1
96.0,1,2,3.8,1.3,1.32,5,0.7,3.32,1,2016.0,1
100.0,0,2,3.01,1.1,1.25,3,0.72,3.07,3,2018.0,2
98.0,0,3,3.85,1.4,1.53,8,0.77,3.7,3,2020.0,1
91.0,2,2,4.02,1.49,1.6,3,0.77,3.86,2,2020.0,0
77.0,0,2,3.98,1.39,1.59,4,0.9,3.88,3,2019.0,0
73.0,0,2,3.56,1.31,1.29,3,0.76,3.36,3,2020.0,1
96.0,0,3,3.85,1.51,1.53,3,0.76,3.81,3,2020.0,1
89.0,1,2,3.37,1.12,1.3,7,0.61,3.04,1,2017.0,0
100.0,1,2,3.41,1.24,1.39,4,0.73,3.36,1,2018.0,0
75.0,1,2,3.45,1.27,1.36,5,0.72,3.35,3,2019.0,0
83.0,0,2,3.61,1.31,1.47,5,0.74,3.52,3,2019.0,0
79.0,2,3,3.34,1.4,1.82,3,0.88,4.1,2,2020.0,0
81.0,0,2,3.15,1.37,1.35,3,0.72,3.44,1,2020.0,2
100.0,0,3,3.91,1.37,1.54,4,0.84,3.75,2,2018.0,1
96.0,0,2,3.78,1.23,1.65,4,0.86,3.74,0,2020.0,0
89.0,1,2,2.8,1.06,1.18,4,0.68,2.92,1,2018.0,2
91.0,2,3,4.19,1.45,1.65,3,0.84,3.94,2,2018.0,0
90.0,0,2,3.49,1.52,1.54,3,0.79,3.85,2,2020.0,2
98.0,0,3,3.97,1.42,1.57,4,0.87,3.85,2,2019.0,1
98.0,0,3,4.09,1.41,1.66,4,0.99,4.06,0,2020.0,0
96.0,2,2,4.09,1.46,1.54,3,0.87,3.87,0,2017.0,0
77.0,0,2,3.84,1.19,1.52,3,0.78,3.49,3,2020.0,4
50.0,1,2,3.19,1.29,1.42,4,0.76,3.46,1,2021.0,0
85.0,1,2,3.59,1.25,1.35,6,0.72,3.32,1,2020.0,0
79.0,0,2,3.27,1.37,1.4,4,0.86,3.63,2,2020.0,2
84.0,0,2,3.15,1.16,1.33,4,0.74,3.23,2,2020.0,2
100.0,2,3,4.07,1.51,1.64,0,0.75,3.91,2,2018.0,4
83.0,0,3,4.28,1.59,1.7,4,0.91,4.2,0,2019.0,1
58.0,0,2,3.53,1.35,1.42,3,0.83,3.6,3,2019.0,0
57.0,1,2,3.49,1.42,1.41,4,0.76,3.59,0,2018.0,0
98.0,0,2,3.48,1.36,1.42,4,0.8,3.59,2,2020.0,3
95.0,0,3,4.15,1.51,1.7,4,0.94,4.15,0,2012.0,4
62.0,0,3,4.52,1.74,1.68,3,0.84,4.26,0,2018.0,2
89.0,0,2,3.34,1.39,1.52,4,0.87,3.78,2,2021.0,4
100.0,2,0,3.43,1.48,1.28,7,0.73,3.48,0,2020.0,0
56.0,0,2,3.67,1.33,1.43,3,0.82,3.58,2,2020.0,3
95.0,0,3,3.97,1.6,1.59,4,0.77,3.96,0,2018.0,4
100.0,2,3,4.35,1.64,1.73,4,0.97,4.35,0,2020.0,3
86.0,0,3,3.68,1.33,1.41,7,0.72,3.45,2,2021.0,2
65.0,0,3,4.12,1.38,1.47,4,0.76,3.6,0,2019.0,0
98.0,0,2,3.8,1.56,1.53,4,0.7,3.79,2,2016.0,3
96.0,0,3,3.9,1.47,1.53,4,0.9,3.9,0,2021.0,3
96.0,0,3,4.46,1.62,1.79,4,0.99,4.4,0,2020.0,3
96.0,2,3,4.31,1.69,1.67,3,0.96,4.31,0,2020.0,3
98.0,1,2,3.52,1.14,1.46,5,0.93,3.53,0,2020.0,4
97.0,0,3,3.92,1.26,1.42,4,0.89,3.56,0,2018.0,3
86.0,1,2,3.66,1.48,1.35,4,0.7,3.53,2,2019.0,3
61.0,0,3,3.34,1.5,1.49,4,0.82,3.8,0,2017.0,2
84.0,1,2,3.56,1.31,1.32,4,0.78,3.42,2,2021.0,2
98.0,0,3,3.79,1.33,1.46,4,0.82,3.61,0,2021.0,4
97.0,1,2,3.5,1.25,1.41,7,0.84,3.5,0,2020.0,4
75.0,0,2,3.22,1.35,1.4,4,0.84,3.59,0,2021.0,3
91.0,1,2,3.7,1.24,1.49,4,0.72,3.45,2,2018.0,0
33.0,1,2,3.28,1.3,1.49,4,0.65,3.43,2,2017.0,0
77.0,1,2,3.57,1.27,1.5,5,0.81,3.57,2,2020.0,0
76.0,0,2,3.72,1.67,1.25,4,0.75,3.67,2,2019.0,3
61.0,1,3,4.21,1.51,1.67,3,0.94,4.11,2,2021.0,3
81.0,1,2,3.54,1.3,1.34,0,0.71,3.34,3,2019.0,2
70.0,0,2,3.92,1.54,1.57,3,0.81,3.91,0,2021.0,3
76.0,1,2,3.02,1.32,1.35,1,0.84,3.51,2,2016.0,2
80.0,0,3,4.22,1.57,1.6,0,0.78,3.96,0,2019.0,4
79.0,0,2,3.8,1.38,1.48,3,0.81,3.68,0,2018.0,2
85.0,0,3,4.21,1.43,1.61,2,0.84,3.76,2,2020.0,2
100.0,1,2,3.05,1.03,1.31,4,0.71,3.05,3,2020.0,2
87.0,0,3,4.22,1.52,1.62,4,0.86,4.0,2,2020.0,2
85.0,0,2,3.73,1.37,1.52,4,0.84,3.73,2,2021.0,0
82.0,1,2,2.94,1.2,1.41,3,0.65,3.26,1,2021.0,0
91.0,1,2,2.51,1.35,1.37,3,0.78,3.5,0,2017.0,4
100.0,0,3,3.85,1.66,1.45,4,0.75,3.85,2,2021.0,2
80.0,1,2,3.29,1.46,1.39,3,0.73,3.58,0,2019.0,0
80.0,0,3,3.34,1.51,1.67,3,0.93,4.11,2,2021.0,4
82.0,0,3,4.22,1.65,1.66,4,0.81,4.11,2,2019.0,4
97.0,0,2,3.72,1.26,1.48,4,0.8,3.53,2,2020.0,3
88.0,1,2,2.22,0.82,0.9,3,0.64,2.35,1,2021.0,3
89.0,0,3,3.98,1.53,1.56,6,0.76,3.85,2,2019.0,4
95.0,0,2,3.8,1.47,1.52,0,0.78,3.77,2,2019.0,4
100.0,0,2,3.54,1.3,1.47,3,0.81,3.58,0,2020.0,3
87.0,0,3,3.64,1.43,1.42,4,0.8,3.65,0,2019.0,0
55.0,0,2,3.34,1.47,1.66,3,0.89,4.02,0,2018.0,4
78.0,0,2,4.07,1.45,1.42,3,0.63,3.5,2,2020.0,2
63.0,1,3,4.21,1.56,1.74,3,0.82,4.11,2,2021.0,3
100.0,0,2,4.04,1.46,1.57,4,0.85,3.88,2,2020.0,2
98.0,0,2,3.92,1.4,1.57,4,0.83,3.81,2,2021.0,2
100.0,0,2,4.04,1.4,1.63,4,0.83,3.86,2,2021.0,2
93.0,0,3,3.86,1.52,1.54,4,0.76,3.82,2,2019.0,3
89.0,0,3,3.8,1.38,1.39,4,0.76,3.53,2,2020.0,0
81.0,0,3,3.98,1.33,1.52,4,0.83,3.68,0,2020.0,3
100.0,0,3,3.74,1.43,1.46,3,0.88,3.77,2,2018.0,0
56.0,1,2,3.34,1.36,1.41,3,0.75,3.51,0,2019.0,2
74.0,0,3,4.52,1.66,1.79,3,0.91,4.36,2,2020.0,3
98.0,1,2,3.74,1.39,1.53,2,0.74,3.67,0,2021.0,4
89.0,0,3,4.1,1.48,1.46,4,0.93,3.87,0,2018.0,0
98.0,1,2,3.76,1.49,1.54,3,0.61,3.64,0,2018.0,3
87.0,0,3,3.5,1.4,1.4,4,0.7,3.5,2,2021.0,0
97.0,0,2,3.36,1.35,1.38,4,0.74,3.47,0,2020.0,0
70.0,1,2,3.35,1.13,1.37,4,0.68,3.19,0,2020.0,0
51.0,1,2,3.34,1.35,1.44,3,0.8,3.59,3,2022.0,0
100.0,1,2,3.74,1.31,1.41,5,0.75,3.47,2,2022.0,0
98.0,0,3,3.92,1.25,1.51,6,0.83,3.59,2,2021.0,0
90.0,0,2,3.43,1.41,1.45,3,0.75,3.61,2,2021.0,0
98.0,1,2,3.61,1.37,1.41,5,0.74,3.51,2,2022.0,0
91.0,0,2,3.67,1.49,1.59,4,0.84,3.91,0,2015.0,2
63.0,1,2,3.48,1.2,1.51,5,0.67,3.38,0,2022.0,0
85.0,1,2,3.33,1.31,1.33,0,0.7,3.34,1,2020.0,0
66.0,1,2,3.26,1.21,1.42,3,0.67,3.31,3,2020.0,0
94.0,0,2,3.49,1.49,1.51,3,0.76,3.76,2,2020.0,2
100.0,1,2,2.8,1.08,1.18,0,0.68,2.95,2,2018.0,2
64.0,0,2,3.7,1.25,1.72,5,0.85,3.82,0,2020.0,4
79.0,0,3,3.73,1.46,1.58,5,0.92,3.95,2,2021.0,4
66.0,1,2,3.24,1.07,1.49,4,0.8,3.36,3,2019.0,4
64.0,1,2,3.74,1.29,1.52,4,0.81,3.62,3,2020.0,2
71.0,0,0,3.74,1.37,1.59,4,0.88,3.85,3,2020.0,2
98.0,0,2,3.85,1.46,1.54,4,0.68,3.68,2,2020.0,2
77.0,1,2,2.5,0.94,1.14,4,0.67,2.75,1,2020.0,4
75.0,0,2,3.56,1.25,1.56,3,0.85,3.65,2,2020.0,0
91.0,0,2,3.92,1.32,1.42,5,0.79,3.53,0,2020.0,4
82.0,1,2,3.43,1.13,1.32,4,0.69,3.15,1,2020.0,4
100.0,0,3,4.4,1.58,1.66,4,0.85,4.08,2,2019.0,4
71.0,1,2,3.34,1.36,1.53,4,0.73,3.62,3,2019.0,1
69.0,0,3,3.34,1.48,1.57,4,0.77,3.83,3,2019.0,1
66.0,0,3,3.76,1.43,1.56,4,0.83,3.81,2,2016.0,2
100.0,2,3,4.28,1.54,1.65,4,0.84,4.03,2,2015.0,4
77.0,1,2,3.58,1.16,1.58,3,0.83,3.57,3,2020.0,4
57.0,0,3,3.34,1.5,1.58,4,0.76,3.83,0,2020.0,1
77.0,0,3,4.2,1.35,1.7,3,0.85,3.9,2,2020.0,4
53.0,0,2,3.76,1.45,1.46,4,0.85,3.76,2,2020.0,1
72.0,0,2,3.87,1.18,1.68,3,0.86,3.72,2,2020.0,4
66.0,0,3,3.34,1.37,1.61,3,0.87,3.85,2,2019.0,1
66.0,1,4,2.41,1.07,1.21,3,0.71,2.98,3,2016.0,2
75.0,0,3,3.74,1.47,1.63,4,0.81,3.9,2,2019.0,2
73.0,2,3,3.34,1.6,1.7,4,0.88,4.18,0,2017.0,1
100.0,0,3,3.72,1.4,1.51,4,0.77,3.67,1,2016.0,4
70.0,0,2,3.56,1.35,1.58,3,0.8,3.73,3,2020.0,2
63.0,0,3,3.34,1.48,1.52,3,0.77,3.76,2,2020.0,0
75.0,0,3,3.92,1.46,1.64,3,0.84,3.93,2,2020.0,2
75.0,0,3,3.79,1.57,1.48,4,0.78,3.82,3,2020.0,2
67.0,0,2,4.0,1.44,1.44,3,0.72,3.61,0,2019.0,2
100.0,1,2,3.4,0.86,1.4,4,0.86,2.75,0,2019.0,4
96.0,0,3,3.74,1.47,1.56,6,0.75,3.78,2,2019.0,0
95.0,0,2,3.71,1.43,1.52,4,0.72,3.67,3,2018.0,2
98.0,1,2,3.63,1.13,1.58,0,0.85,3.57,0,2020.0,4
84.0,0,3,3.8,1.5,1.58,3,0.91,3.99,2,2021.0,0
96.0,0,3,3.42,1.38,1.48,3,0.69,3.55,3,2018.0,0
96.0,0,3,4.03,1.49,1.63,4,0.81,3.93,2,2019.0,1
66.0,0,3,3.88,1.54,1.64,3,0.84,4.02,2,2021.0,2
100.0,0,3,4.1,1.56,1.65,5,0.82,4.02,2,2019.0,1
87.0,1,2,3.42,1.28,1.33,4,0.76,3.37,1,2019.0,0
59.0,0,2,3.49,1.35,1.35,4,0.7,3.4,1,2019.0,1
84.0,0,2,3.34,1.4,1.55,4,0.76,3.71,2,2019.0,1
95.0,2,3,4.03,1.46,1.73,0,0.94,4.13,2,2016.0,0
91.0,0,2,3.61,1.42,1.41,5,0.76,3.59,0,2019.0,2
100.0,1,2,3.27,1.29,1.35,4,0.71,3.35,1,2020.0,0
76.0,2,3,3.34,1.54,1.64,3,0.85,4.02,2,2020.0,0
88.0,0,2,3.34,1.4,1.45,5,0.78,3.64,0,2020.0,1
82.0,0,2,3.66,1.27,1.54,5,0.89,3.7,2,2020.0,1
77.0,0,3,4.01,1.41,1.77,3,0.95,4.13,2,2019.0,4
77.0,0,2,3.34,1.28,1.55,4,0.8,3.63,2,2020.0,0
93.0,0,3,4.0,1.25,1.69,4,0.9,3.72,2,2020.0,4
95.0,1,2,3.35,0.88,1.15,4,0.72,2.65,1,2018.0,4
58.0,0,2,3.69,1.52,1.53,3,0.79,3.83,2,2020.0,1
90.0,0,2,3.52,1.25,1.43,3,0.78,3.46,0,2018.0,2
100.0,0,2,3.34,1.4,1.38,3,0.79,3.57,2,2018.0,1
99.0,2,3,4.27,1.5,1.8,3,0.94,4.24,0,2016.0,4
96.0,2,3,4.33,1.58,1.82,4,0.96,4.37,2,2018.0,4
91.0,0,3,3.91,1.33,1.53,4,0.87,3.73,2,2021.0,3
76.0,1,2,3.41,1.35,1.46,2,0.73,3.53,1,2015.0,4
83.0,0,3,3.87,1.69,1.59,4,0.59,3.87,2,2016.0,4
85.0,1,2,3.26,1.34,1.38,3,0.67,3.39,1,2020.0,0
97.0,0,2,4.03,1.57,1.62,4,0.73,3.92,2,2021.0,3
53.0,1,2,3.35,1.11,1.31,0,0.7,3.12,0,2022.0,3
87.0,0,3,3.98,1.44,1.39,4,0.89,3.72,2,2016.0,0
99.0,2,3,4.02,1.3,1.59,3,0.88,3.77,0,2013.0,4
100.0,0,2,3.98,1.63,1.52,4,0.74,3.89,2,2018.0,3
99.0,0,3,3.92,1.43,1.57,4,0.88,3.88,2,2020.0,3
86.0,0,3,3.98,1.37,1.45,3,0.86,3.68,2,2019.0,3
100.0,0,3,3.77,1.36,1.56,3,0.82,3.74,2,2019.0,0
